Results from heasarc_actszclust: Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalog
Coordinate system: Equatorial
|name               |ra         |dec        |snr     |y_c       |y_c_error |redshift|redshift_error|mass_500c|mass_500c_pos_err|mass_500c_neg_err|mass_200m|mass_200m_pos_err|mass_200m_neg_err|
|ACT-CL J2012.1-5308|20 12 07.27|-53 08 40.0| 5.21260|5.5653e-05|1.0677e-05|0.227116|      0.005998|  2.56642|          0.68591|          0.54125|  4.81737|          1.28750|          1.01597|
|ACT-CL J0152.9-5303|01 52 56.10|-53 03 14.5| 7.03553|1.5908e-04|2.2611e-05|0.586707|      0.007397|  3.21891|          0.62311|          0.52205|  5.61380|          1.08671|          0.91046|
|ACT-CL J0245.5-5302|02 45 30.08|-53 02 09.1|22.34314|2.2999e-04|1.0293e-05|0.298389|      0.005865|  7.56493|          1.46440|          1.22690| 14.26558|          2.76150|          2.31363|
|ACT-CL J0418.0-5301|04 18 03.47|-53 01 42.2| 4.83787|1.6473e-04|3.4050e-05|0.702385|      0.017483|  2.22397|          0.48965|          0.40130|  3.80789|          0.83838|          0.68710|
|ACT-CL J2350.9-5301|23 50 55.66|-53 01 28.3| 5.76156|2.3509e-04|4.0803e-05|0.541089|      0.007154|  2.86729|          0.60250|          0.49788|  5.01605|          1.05401|          0.87099|
|ACT-CL J0659.0-5301|06 59 01.68|-53 01 27.5| 4.77512|5.7348e-05|1.2010e-05|0.480000|      0.038300|  2.54355|          0.60304|          0.48747|  4.47880|          1.06187|          0.85836|
|ACT-CL J0144.9-5301|01 44 58.80|-53 01 19.4| 8.59779|6.9179e-05|8.0461e-06|0.118300|      0.000000|  3.00680|          0.81411|          0.64065|  5.92889|          1.60529|          1.26325|
|ACT-CL J0528.1-5259|05 28 06.27|-52 59 56.4| 5.85826|1.0471e-04|1.7873e-05|0.767600|      0.000000|  2.68204|          0.53022|          0.44270|  4.59378|          0.90816|          0.75826|
|ACT-CL J2355.8-5258|23 55 48.02|-52 59 00.0| 4.41208|6.6590e-05|1.5093e-05|0.757992|      0.014039|  2.23318|          0.50484|          0.41176|  3.81180|          0.86171|          0.70282|
|ACT-CL J0254.9-5258|02 54 55.34|-52 58 20.0| 4.16837|3.5049e-05|8.4083e-06|0.935150|      0.024355|  1.79528|          0.43176|          0.34806|  3.03795|          0.73062|          0.58897|
|ACT-CL J2251.2-5257|22 51 15.33|-52 57 50.3| 4.39077|1.9002e-04|4.3277e-05|1.131800|      0.029845|  1.96609|          0.45611|          0.37022|  3.34553|          0.77612|          0.62997|
|ACT-CL J0232.7-5257|02 32 47.51|-52 57 25.7| 8.51268|8.5186e-05|1.0007e-05|0.556100|      0.000000|  3.59627|          0.66670|          0.56244|  6.31110|          1.17000|          0.98702|
|ACT-CL J2245.8-5254|22 45 50.67|-52 54 20.2| 4.30016|8.6467e-05|2.0108e-05|0.463824|      0.008360|  2.27979|          0.56391|          0.45208|  4.01566|          0.99328|          0.79631|
|ACT-CL J0253.1-5253|02 53 11.00|-52 54 00.0| 4.01242|3.3757e-05|8.4131e-06|1.013488|      0.084554|  1.53339|          0.40982|          0.32339|  2.58796|          0.69166|          0.54579|
|ACT-CL J0232.3-5252|02 32 23.32|-52 52 50.5| 4.66733|1.6908e-04|3.6227e-05|0.809942|      0.015478|  1.98377|          0.47033|          0.38019|  3.37063|          0.79913|          0.64598|
|ACT-CL J2035.1-5251|20 35 10.98|-52 51 11.4| 8.84459|9.2321e-05|1.0438e-05|0.528000|      0.000000|  4.31317|          0.81018|          0.68206|  7.63027|          1.43326|          1.20661|
|ACT-CL J0559.7-5249|05 59 42.70|-52 49 46.6| 9.98789|9.6506e-05|9.6623e-06|0.609400|      0.000000|  3.87656|          0.69028|          0.58594|  6.77239|          1.20592|          1.02365|
|ACT-CL J0609.6-5249|06 09 40.99|-52 49 30.3| 5.59136|1.2500e-04|2.2356e-05|0.439108|      0.010252|  2.67099|          0.58807|          0.48195|  4.74287|          1.04423|          0.85581|
|ACT-CL J2240.7-5246|22 40 44.15|-52 46 41.7| 4.77278|4.7080e-05|9.8643e-06|0.224674|      0.004689|  2.14723|          0.58326|          0.45867|  4.01632|          1.09096|          0.85792|
|ACT-CL J0421.0-5246|04 21 01.70|-52 46 38.1| 5.14147|5.9097e-05|1.1494e-05|0.292887|      0.006586|  2.30029|          0.55912|          0.44979|  4.21564|          1.02467|          0.82431|
|ACT-CL J0048.3-5244|00 48 19.97|-52 44 59.7| 6.68611|2.6402e-04|3.9488e-05|0.917600|      0.026846|  2.90105|          0.54256|          0.45707|  4.95928|          0.92749|          0.78136|
|ACT-CL J2110.1-5244|21 10 11.52|-52 44 59.4| 5.70680|9.8727e-05|1.7300e-05|0.616982|      0.009252|  3.12500|          0.64106|          0.53194|  5.42874|          1.11364|          0.92408|
|ACT-CL J0217.1-5244|02 17 11.85|-52 44 41.3| 6.53213|5.4204e-05|8.2981e-06|0.343200|      0.000000|  2.40723|          0.55641|          0.45194|  4.35590|          1.00682|          0.81779|
|ACT-CL J2348.9-5243|23 48 55.57|-52 43 39.2| 4.78222|5.7793e-05|1.2085e-05|0.941524|      0.020384|  2.32737|          0.49293|          0.40677|  3.95968|          0.83864|          0.69207|
|ACT-CL J0655.8-5234|06 55 53.83|-52 34 31.7| 6.53169|1.1034e-04|1.6893e-05|0.470300|      0.000000|  3.42233|          0.70205|          0.58255|  6.07712|          1.24665|          1.03445|
|ACT-CL J0158.5-5232|01 58 33.00|-52 33 00.0| 4.00613|5.4305e-05|1.3555e-05|0.978800|      0.027703|  1.86714|          0.43157|          0.35054|  3.16262|          0.73100|          0.59376|
|ACT-CL J0245.4-5228|02 45 24.03|-52 28 41.3| 4.49621|3.6554e-05|8.1299e-06|0.440319|      0.010748|  1.91928|          0.48796|          0.38905|  3.38222|          0.85990|          0.68559|
|ACT-CL J0330.9-5228|03 30 54.84|-52 28 11.3|10.87635|9.7530e-05|8.9671e-06|0.441700|      0.000000|  4.12723|          0.77188|          0.65027|  7.39984|          1.38393|          1.16588|
|ACT-CL J2223.4-5228|22 23 26.01|-52 28 07.3| 4.29737|4.2012e-05|9.7763e-06|0.264288|      0.005161|  2.09322|          0.57593|          0.45166|  3.86117|          1.06236|          0.83313|
|ACT-CL J2011.1-5228|20 11 08.81|-52 28 05.7| 4.55413|1.6039e-04|3.5219e-05|1.064000|      0.000000|  2.31299|          0.49568|          0.40820|  3.94113|          0.84459|          0.69553|
|ACT-CL J0616.5-5227|06 16 34.28|-52 27 22.1|11.10422|1.3753e-04|1.2386e-05|0.683700|      0.000000|  4.48890|          0.77027|          0.65745|  7.81623|          1.34121|          1.14478|
|ACT-CL J2155.5-5224|21 55 33.59|-52 24 58.0| 4.68000|4.8001e-05|1.0257e-05|0.916931|      0.018387|  2.30504|          0.51525|          0.42112|  3.92111|          0.87650|          0.71637|
|ACT-CL J0238.0-5224|02 38 01.35|-52 24 26.5| 4.48205|3.9917e-05|8.9060e-06|0.135000|      0.000000|  1.84668|          0.58722|          0.44554|  3.56708|          1.13428|          0.86062|
|ACT-CL J0057.3-5223|00 57 22.67|-52 23 20.0| 4.17087|7.4622e-05|1.7891e-05|0.344484|      0.008405|  2.06886|          0.54572|          0.43181|  3.72933|          0.98371|          0.77839|
|ACT-CL J0431.0-5221|04 31 04.65|-52 21 26.4| 4.88194|8.0786e-05|1.6548e-05|0.644125|      0.013928|  2.27665|          0.50125|          0.41080|  3.91769|          0.86255|          0.70691|
|ACT-CL J0359.3-5218|03 59 20.69|-52 18 45.1| 8.12823|1.3100e-04|1.6116e-05|0.682241|      0.014390|  3.35699|          0.60594|          0.51329|  5.80770|          1.04829|          0.88801|
|ACT-CL J2137.6-5215|21 37 40.43|-52 15 18.1| 4.56145|2.1651e-04|4.7465e-05|0.721094|      0.015620|  2.36941|          0.56984|          0.45936|  4.05753|          0.97583|          0.78664|
|ACT-CL J0329.8-5215|03 29 52.56|-52 15 17.2| 4.36465|3.7898e-05|8.6830e-06|0.609545|      0.010828|  1.90217|          0.48525|          0.38662|  3.27162|          0.83460|          0.66497|
|ACT-CL J0215.1-5212|02 15 10.37|-52 12 02.5| 5.70706|4.8352e-05|8.4723e-06|0.480300|      0.000000|  2.35964|          0.52945|          0.43242|  4.14782|          0.93067|          0.76012|
|ACT-CL J0139.5-5204|01 39 33.60|-52 04 17.9| 4.33506|9.5953e-05|2.2134e-05|0.920661|      0.018199|  2.05608|          0.46134|          0.37679|  3.48917|          0.78289|          0.63942|
|ACT-CL J0329.4-5201|03 29 27.31|-52 01 27.8| 4.99862|4.6685e-05|9.3396e-06|0.932247|      0.020091|  2.15909|          0.45009|          0.37245|  3.66760|          0.76456|          0.63267|
|ACT-CL J2220.8-5159|22 20 48.71|-51 59 26.3| 5.27006|1.7798e-04|3.3771e-05|0.488824|      0.008183|  2.72673|          0.61181|          0.49969|  4.80188|          1.07743|          0.87998|
|ACT-CL J0254.1-5159|02 54 10.00|-51 59 14.9| 4.10460|3.9881e-05|9.7162e-06|0.845886|      0.016918|  1.96068|          0.45652|          0.37030|  3.32730|          0.77471|          0.62840|
|ACT-CL J2235.3-5156|22 35 23.02|-51 57 00.0| 4.33987|1.7211e-04|3.9658e-05|1.009400|      0.028132|  2.05325|          0.45897|          0.37512|  3.48597|          0.77923|          0.63687|
|ACT-CL J2355.3-5156|23 55 22.97|-51 56 35.9| 5.26586|1.9630e-04|3.7279e-05|0.724507|      0.017988|  2.29554|          0.51120|          0.41809|  3.92758|          0.87464|          0.71534|
|ACT-CL J0118.3-5156|01 18 20.33|-51 56 16.5| 5.11978|4.9522e-05|9.6727e-06|0.705000|      0.000000|  2.46425|          0.53222|          0.43769|  4.22779|          0.91309|          0.75092|
|ACT-CL J0511.6-5154|05 11 39.99|-51 54 10.4| 5.50031|5.1248e-05|9.3172e-06|0.645000|      0.000000|  2.42053|          0.51064|          0.42168|  4.17043|          0.87980|          0.72653|
|ACT-CL J0147.7-5150|01 47 46.84|-51 50 05.8| 4.36338|7.4628e-05|1.7103e-05|0.836889|      0.013719|  2.07171|          0.46484|          0.37966|  3.52050|          0.78992|          0.64516|
|ACT-CL J1946.1-5148|19 46 10.76|-51 48 36.2| 6.25611|7.1064e-05|1.1359e-05|0.315800|      0.018421|  3.15310|          0.72613|          0.59021|  5.78445|          1.33211|          1.08276|
|ACT-CL J2209.3-5147|22 09 22.99|-51 47 45.2| 5.08107|5.0099e-05|9.8600e-06|0.110000|      0.000000|  2.22244|          0.74528|          0.55812|  4.36425|          1.46352|          1.09599|
|ACT-CL J2249.9-5146|22 49 57.56|-51 46 47.9| 4.60338|1.8277e-04|3.9704e-05|0.109132|      0.005223|  2.04760|          0.68665|          0.51421|  4.01392|          1.34604|          1.00801|
|ACT-CL J0015.5-5146|00 15 34.80|-51 46 20.8| 4.89816|4.2718e-05|8.7213e-06|0.414974|      0.010969|  2.12517|          0.52384|          0.42025|  3.77218|          0.92981|          0.74594|
|ACT-CL J2242.2-5145|22 42 17.34|-51 45 56.7| 4.38764|3.9394e-05|8.9785e-06|0.718206|      0.019525|  2.05891|          0.49341|          0.39802|  3.51600|          0.84259|          0.67970|
|ACT-CL J0012.8-5143|00 12 51.00|-51 44 00.0| 4.15614|9.4578e-05|2.2756e-05|0.329133|      0.007437|  1.97695|          0.52836|          0.41693|  3.57405|          0.95521|          0.75376|
|ACT-CL J0447.5-5143|04 47 30.45|-51 43 35.1| 4.66947|4.1580e-05|8.9046e-06|0.401917|      0.010724|  2.01266|          0.51518|          0.41018|  3.57784|          0.91582|          0.72917|
|ACT-CL J0025.0-5141|00 25 02.40|-51 41 41.8| 4.32826|6.0446e-05|1.3965e-05|0.826894|      0.013847|  2.06602|          0.46531|          0.37977|  3.51155|          0.79087|          0.64549|
|ACT-CL J2250.1-5140|22 50 08.01|-51 40 45.0| 4.38221|6.5690e-05|1.4990e-05|0.106851|      0.005416|  2.10044|          0.70051|          0.52531|  4.12483|          1.37565|          1.03160|
|ACT-CL J0512.6-5139|05 12 39.62|-51 39 41.0| 6.13447|8.6501e-05|1.4101e-05|0.643240|      0.011902|  2.84370|          0.56688|          0.47265|  4.91747|          0.98027|          0.81734|
|ACT-CL J0013.8-5139|00 13 50.00|-51 39 15.6| 4.86204|1.7657e-04|3.6316e-05|0.775656|      0.021133|  2.05467|          0.47666|          0.38690|  3.49816|          0.81153|          0.65871|
|ACT-CL J0549.5-5135|05 49 32.99|-51 35 30.0| 4.24113|1.5684e-04|3.6980e-05|0.328346|      0.007537|  1.94991|          0.53479|          0.41968|  3.52479|          0.96671|          0.75865|
|ACT-CL J0259.1-5128|02 59 06.68|-51 28 20.3| 4.24387|4.4227e-05|1.0421e-05|0.374199|      0.011528|  2.04057|          0.52585|          0.41811|  3.65089|          0.94083|          0.74806|
|ACT-CL J2156.0-5126|21 56 01.61|-51 26 11.6| 4.30419|5.3390e-05|1.2404e-05|0.754568|      0.040174|  2.39236|          0.55500|          0.45049|  4.09014|          0.94886|          0.77019|
|ACT-CL J2054.2-5123|20 54 17.00|-51 23 30.0| 4.16137|1.1425e-04|2.7455e-05|0.725456|      0.017411|  2.36289|          0.55820|          0.45153|  4.04508|          0.95559|          0.77298|
|ACT-CL J0110.1-5121|01 10 07.54|-51 21 38.1| 4.51652|4.1330e-05|9.1509e-06|0.797810|      0.010996|  1.95394|          0.43842|          0.35807|  3.32030|          0.74500|          0.60847|
|ACT-CL J2110.8-5121|21 10 52.00|-51 21 08.6| 4.37542|4.8545e-05|1.1095e-05|0.836798|      0.011743|  2.40227|          0.54915|          0.44698|  4.09494|          0.93610|          0.76192|
|ACT-CL J0235.7-5120|02 35 47.84|-51 20 49.1|12.74896|1.0101e-04|7.9230e-06|0.277500|      0.000000|  4.13861|          0.82843|          0.69026|  7.73136|          1.54759|          1.28947|
|ACT-CL J0033.8-5119|00 33 51.00|-51 20 00.0| 4.25482|1.3620e-04|3.2011e-05|0.361207|      0.010360|  1.75615|          0.47703|          0.37513|  3.14104|          0.85321|          0.67095|
|ACT-CL J0545.3-5119|05 45 23.00|-51 20 00.0| 4.23894|8.0693e-05|1.9036e-05|0.680000|      0.040000|  2.21481|          0.52510|          0.42447|  3.79788|          0.90043|          0.72786|
|ACT-CL J2336.0-5119|23 36 03.34|-51 19 50.1| 4.12699|3.8553e-05|9.3417e-06|0.569019|      0.009248|  1.87229|          0.46150|          0.37024|  3.23366|          0.79707|          0.63945|
|ACT-CL J2341.2-5119|23 41 12.09|-51 19 40.2|13.28116|3.0487e-04|2.2955e-05|1.003000|      0.000000|  3.97659|          0.62814|          0.54245|  6.84825|          1.08175|          0.93418|
|ACT-CL J0338.3-5118|03 38 22.53|-51 18 35.7| 4.54426|4.5358e-05|9.9813e-06|0.219816|      0.004763|  1.82519|          0.50218|          0.39382|  3.40643|          0.93724|          0.73501|
|ACT-CL J2123.5-5118|21 23 31.68|-51 18 32.6| 5.08689|1.1870e-04|2.3335e-05|0.720749|      0.015594|  2.88313|          0.61304|          0.50555|  4.95826|          1.05427|          0.86941|
|ACT-CL J0413.3-5117|04 13 20.03|-51 17 54.6| 6.60505|2.4297e-04|3.6785e-05|0.938000|      0.027132|  2.63083|          0.50279|          0.42212|  4.48766|          0.85766|          0.72005|
|ACT-CL J0122.9-5117|01 22 57.04|-51 17 26.1| 5.41853|5.8235e-05|1.0747e-05|0.729207|      0.021981|  2.37268|          0.48673|          0.40388|  4.06129|          0.83313|          0.69131|
|ACT-CL J2025.9-5117|20 25 57.77|-51 17 17.9| 8.53463|1.5169e-04|1.7773e-05|0.230466|      0.004140|  4.31317|          0.94238|          0.77340|  8.19479|          1.79047|          1.46942|
|ACT-CL J0456.4-5116|04 56 27.77|-51 16 43.7| 7.56838|7.7419e-05|1.0229e-05|0.561900|      0.000000|  3.33855|          0.63805|          0.53567|  5.84459|          1.11699|          0.93777|
|ACT-CL J0219.4-5116|02 19 27.99|-51 16 22.9| 4.56719|1.5063e-04|3.2982e-05|0.543398|      0.007823|  1.98650|          0.47775|          0.38513|  3.44636|          0.82884|          0.66815|
|ACT-CL J0500.9-5116|05 00 57.11|-51 16 10.1| 4.40100|4.0969e-05|9.3090e-06|0.150876|      0.004381|  1.75736|          0.57803|          0.43497|  3.36672|          1.10739|          0.83330|
|ACT-CL J0010.0-5113|00 10 03.99|-51 13 15.1| 4.52638|5.4352e-05|1.2008e-05|0.277142|      0.007343|  1.86585|          0.48245|          0.38333|  3.41875|          0.88397|          0.70237|
|ACT-CL J0640.2-5113|06 40 16.91|-51 13 02.0| 7.82368|1.0172e-04|1.3002e-05|1.316000|      0.000000|  2.97181|          0.49798|          0.42651|  5.14932|          0.86286|          0.73902|
|ACT-CL J0010.8-5111|00 10 52.35|-51 11 50.2| 4.23924|3.2603e-05|7.6908e-06|0.216229|      0.004115|  1.57730|          0.46608|          0.35977|  2.93733|          0.86796|          0.66999|
|ACT-CL J0159.5-5110|01 59 30.16|-51 10 53.1| 5.17156|3.9785e-05|7.6930e-06|0.673375|      0.013481|  2.13544|          0.46478|          0.38170|  3.66080|          0.79677|          0.65435|
|ACT-CL J0041.1-5107|00 41 09.66|-51 07 44.5| 6.09850|6.3611e-05|1.0431e-05|0.518387|      0.006704|  2.57350|          0.52579|          0.43659|  4.50563|          0.92054|          0.76437|
|ACT-CL J2153.6-5107|21 53 36.42|-51 07 11.9| 4.34804|9.7410e-05|2.2403e-05|0.853145|      0.016689|  2.51568|          0.56658|          0.46243|  4.29086|          0.96639|          0.78874|
|ACT-CL J0249.8-5104|02 49 49.21|-51 04 54.5| 5.01773|1.2047e-04|2.4009e-05|0.576562|      0.009113|  2.16952|          0.48313|          0.39514|  3.75544|          0.83630|          0.68399|
|ACT-CL J0059.0-5104|00 59 03.00|-51 04 45.1| 4.12390|3.4110e-05|8.2713e-06|0.619718|      0.010133|  1.72975|          0.45928|          0.36292|  2.96615|          0.78757|          0.62233|
|ACT-CL J0521.2-5104|05 21 12.64|-51 04 18.7| 8.57692|8.3828e-05|9.7737e-06|0.674200|      0.000000|  3.65871|          0.66337|          0.56156|  6.34579|          1.15058|          0.97398|
|ACT-CL J0252.9-5101|02 52 58.27|-51 01 54.0| 6.82398|6.0273e-05|8.8326e-06|0.444480|      0.009090|  2.74557|          0.55867|          0.46421|  4.87342|          0.99164|          0.82398|
|ACT-CL J2300.5-5100|23 00 30.30|-51 00 23.0| 5.55918|6.9820e-05|1.2559e-05|0.407600|      0.019706|  2.62540|          0.59129|          0.48260|  4.68962|          1.05619|          0.86204|
|ACT-CL J0159.3-5100|01 59 21.13|-51 00 10.1| 4.48883|3.5713e-05|7.9560e-06|0.621896|      0.013159|  1.89694|          0.45136|          0.36460|  3.25842|          0.77531|          0.62629|
|ACT-CL J0451.8-5057|04 51 50.43|-50 57 46.7| 4.92864|8.4481e-05|1.7141e-05|0.731552|      0.014161|  2.31140|          0.49727|          0.40923|  3.95368|          0.85059|          0.69999|
|ACT-CL J2356.5-5056|23 56 30.01|-50 57 00.0| 4.18986|3.2291e-05|7.7069e-06|0.311599|      0.006466|  1.65063|          0.45560|          0.35705|  2.98595|          0.82417|          0.64590|
|ACT-CL J2016.3-5056|20 16 19.02|-50 56 30.0| 4.40446|2.0429e-04|4.6383e-05|0.580841|      0.008431|  2.31937|          0.57370|          0.45993|  4.01861|          0.99401|          0.79689|
|ACT-CL J2354.9-5055|23 54 57.00|-50 56 00.0| 4.08083|1.2497e-04|3.0625e-05|0.318865|      0.007182|  1.46023|          0.44194|          0.33926|  2.62910|          0.79569|          0.61083|
|ACT-CL J2355.7-5055|23 55 44.70|-50 55 58.8| 6.22550|1.8928e-04|3.0404e-05|0.319600|      0.000000|  2.38578|          0.53330|          0.43587|  4.34311|          0.97083|          0.79346|
|ACT-CL J0447.3-5055|04 47 22.63|-50 55 00.3| 5.19138|7.4722e-05|1.4394e-05|0.386899|      0.010231|  2.45747|          0.56802|          0.46138|  4.40273|          1.01764|          0.82659|
|ACT-CL J2331.9-5052|23 31 55.62|-50 52 15.2| 9.32068|7.7572e-05|8.3226e-06|0.576000|      0.000000|  3.55932|          0.64535|          0.54630|  6.22937|          1.12947|          0.95611|
|ACT-CL J1934.9-5050|19 34 58.43|-50 50 53.1| 7.44503|9.3157e-05|1.2513e-05|0.237000|      0.000000|  3.78687|          0.86247|          0.70248|  7.15380|          1.62930|          1.32706|
|ACT-CL J2028.9-5050|20 28 56.28|-50 50 13.4| 5.05348|7.7042e-05|1.5245e-05|0.983640|      0.025978|  2.71923|          0.55556|          0.46131|  4.64280|          0.94857|          0.78764|
|ACT-CL J0037.7-5047|00 37 45.71|-50 47 30.1| 6.00864|6.0869e-05|1.0130e-05|1.026000|      0.000000|  2.37595|          0.44629|          0.37572|  4.04737|          0.76025|          0.64003|
|ACT-CL J2203.2-5047|22 03 12.77|-50 47 17.1| 5.86168|6.2647e-05|1.0687e-05|0.900560|      0.024745|  2.86927|          0.56251|          0.47031|  4.90434|          0.96148|          0.80388|
|ACT-CL J0337.4-5046|03 37 26.80|-50 46 47.6| 5.05357|4.6974e-05|9.2952e-06|0.736470|      0.018843|  2.19205|          0.46427|          0.38312|  3.74429|          0.79302|          0.65442|
|ACT-CL J0116.6-5046|01 16 39.65|-50 46 24.7| 4.56018|7.6595e-05|1.6797e-05|0.395774|      0.010695|  2.10914|          0.51446|          0.41358|  3.75821|          0.91670|          0.73695|
|ACT-CL J0211.2-5045|02 11 14.01|-50 45 44.9| 4.31408|1.1071e-04|2.5662e-05|0.622006|      0.027294|  2.00574|          0.48067|          0.38775|  3.44932|          0.82661|          0.66681|
|ACT-CL J0307.8-5042|03 07 51.42|-50 42 16.8|11.03430|1.2770e-04|1.1573e-05|0.560263|      0.006422|  3.88725|          0.67959|          0.57846|  6.83028|          1.19410|          1.01641|
|ACT-CL J2115.8-5040|21 15 52.42|-50 40 12.0| 4.72593|2.2963e-04|4.8589e-05|0.682901|      0.020467|  2.50704|          0.58799|          0.47628|  4.30945|          1.01071|          0.81870|
|ACT-CL J2043.2-5035|20 43 16.72|-50 35 30.9| 8.24401|1.2254e-04|1.4864e-05|0.723400|      0.000000|  4.13007|          0.73877|          0.62667|  7.15845|          1.28048|          1.08618|
|ACT-CL J0025.4-5034|00 25 27.94|-50 34 29.5| 7.25474|6.9408e-05|9.5673e-06|0.365449|      0.009543|  2.69686|          0.54876|          0.45598|  4.86613|          0.99016|          0.82275|
|ACT-CL J0332.9-5032|03 32 58.15|-50 32 56.9| 5.80907|4.3807e-05|7.5412e-06|0.968600|      0.027560|  2.15909|          0.41973|          0.35141|  3.66794|          0.71305|          0.59699|
|ACT-CL J0142.1-5032|01 42 10.92|-50 32 28.9|11.28897|1.3076e-04|1.1583e-05|0.679300|      0.000000|  3.88993|          0.65808|          0.56286|  6.75348|          1.14253|          0.97721|
|ACT-CL J0005.2-5027|00 05 15.60|-50 27 18.3| 4.32365|6.5638e-05|1.5181e-05|0.608742|      0.012929|  1.70492|          0.39986|          0.32390|  2.92590|          0.68622|          0.55586|
|ACT-CL J0522.0-5026|05 22 03.60|-50 26 39.4| 7.30409|7.5318e-05|1.0312e-05|0.554003|      0.006324|  3.27480|          0.63662|          0.53300|  5.73627|          1.11513|          0.93363|
|ACT-CL J2231.9-5024|22 31 54.79|-50 24 05.9| 4.29560|4.3046e-05|1.0021e-05|0.344248|      0.008905|  1.81142|          0.46054|          0.36718|  3.25562|          0.82771|          0.65993|
|ACT-CL J0514.1-5023|05 14 07.99|-50 23 36.9| 4.63449|1.3120e-04|2.8310e-05|0.581525|      0.008978|  2.16058|          0.51041|          0.41287|  3.73747|          0.88292|          0.71420|
|ACT-CL J2116.5-5022|21 16 34.00|-50 22 59.9| 4.72159|6.4941e-05|1.3754e-05|0.418187|      0.010291|  2.74368|          0.66220|          0.53345|  4.89511|          1.18145|          0.95174|
|ACT-CL J0346.2-5018|03 46 14.77|-50 18 37.3| 4.87619|1.4319e-04|2.9365e-05|0.645298|      0.012406|  1.93653|          0.44105|          0.35923|  3.32068|          0.75629|          0.61600|
|ACT-CL J0002.5-5017|00 02 33.02|-50 17 20.7| 4.86983|1.2091e-04|2.4829e-05|0.961541|      0.024550|  1.69672|          0.36787|          0.30232|  2.86801|          0.62182|          0.51102|
|ACT-CL J0027.3-5014|00 27 20.04|-50 14 45.1| 6.62586|4.8157e-05|7.2680e-06|0.144800|      0.000000|  2.12810|          0.55394|          0.43953|  4.10763|          1.06922|          0.84838|
|ACT-CL J0217.0-5013|02 17 04.02|-50 13 59.9| 5.04624|4.4622e-05|8.8427e-06|0.538118|      0.006443|  2.13544|          0.47554|          0.38893|  3.71313|          0.82688|          0.67628|
|ACT-CL J2311.2-5010|23 11 17.99|-50 10 25.1| 4.44791|3.7255e-05|8.3758e-06|0.822013|      0.014840|  1.75012|          0.43440|          0.34802|  2.96487|          0.73591|          0.58957|
|ACT-CL J2359.7-5010|23 59 43.17|-50 10 11.5| 8.92419|1.4392e-04|1.6127e-05|0.775000|      0.000000|  2.98001|          0.51375|          0.43821|  5.11410|          0.88167|          0.75202|
|ACT-CL J2304.0-5006|23 04 00.57|-50 06 17.2| 4.40404|4.3004e-05|9.7647e-06|0.620290|      0.011139|  1.98377|          0.46021|          0.37355|  3.41131|          0.79138|          0.64236|
|ACT-CL J2351.3-5005|23 51 18.84|-50 05 26.0| 4.82320|1.2965e-04|2.6881e-05|0.565040|      0.008882|  1.80023|          0.42528|          0.34401|  3.10813|          0.73425|          0.59394|
|ACT-CL J0015.1-5004|00 15 06.26|-50 04 41.5| 5.23069|1.3657e-04|2.6110e-05|0.968600|      0.027560|  1.83907|          0.38032|          0.31515|  3.11387|          0.64395|          0.53360|
|ACT-CL J0231.1-5004|02 31 09.12|-50 04 19.9| 4.70714|4.4633e-05|9.4821e-06|0.630726|      0.010720|  1.96880|          0.43843|          0.35858|  3.38165|          0.75306|          0.61591|
|ACT-CL J0326.9-5004|03 26 55.19|-50 04 05.9| 4.59881|1.3369e-04|2.9071e-05|0.271829|      0.006309|  1.73691|          0.45967|          0.36348|  3.18239|          0.84221|          0.66596|
|ACT-CL J2131.8-5003|21 31 50.67|-50 03 40.0| 4.13502|7.2661e-05|1.7572e-05|0.460020|      0.008515|  2.41553|          0.60579|          0.48433|  4.26310|          1.06915|          0.85478|
|ACT-CL J0150.5-5003|01 50 35.09|-50 03 08.7| 5.12051|7.0855e-05|1.3838e-05|0.800976|      0.011610|  2.10478|          0.43527|          0.36068|  3.58175|          0.74070|          0.61378|
|ACT-CL J2317.2-5000|23 17 14.57|-50 00 16.4| 4.95587|7.0064e-05|1.4138e-05|1.050200|      0.028703|  1.97559|          0.40199|          0.33403|  3.35397|          0.68247|          0.56708|
|ACT-CL J0126.7-5000|01 26 43.59|-50 00 11.9| 4.21038|3.3740e-05|8.0135e-06|0.126639|      0.004928|  1.53445|          0.50612|          0.38059|  2.96136|          0.97677|          0.73450|
|ACT-CL J0309.0-4957|03 09 02.96|-49 57 57.2| 8.53153|8.5595e-05|1.0033e-05|0.554252|      0.006488|  3.22113|          0.59190|          0.50002|  5.63997|          1.03638|          0.87550|
|ACT-CL J0326.2-4957|03 26 14.67|-49 57 50.0| 4.40302|1.2333e-04|2.8010e-05|0.698109|      0.017091|  1.82771|          0.41781|          0.34007|  3.11748|          0.71265|          0.58005|
|ACT-CL J0059.1-4955|00 59 10.72|-49 55 32.9| 4.88906|4.9818e-05|1.0190e-05|0.442259|      0.009662|  2.10623|          0.48505|          0.39425|  3.71793|          0.85621|          0.69594|
|ACT-CL J0014.8-4952|00 14 48.29|-49 52 30.8|11.31928|2.8960e-04|2.5584e-05|0.752000|      0.000000|  3.41527|          0.57229|          0.49015|  5.88501|          0.98613|          0.84460|
