source_number;name;ra;dec;snr;ir_contam_flag;nn_quality_flag;y5r500;y5r500_error;validation_status;redshift;redshift_source_name;mass_sz;mass_sz_pos_err;cosmology_sample_flag
 472;PSZ2 G099.38+25.19;282,7519;68,8065; 6.56803;0;0,996357;0,000692915;0,000215558; 20; 0.350000;; 4.244147;0,333486;0
 474;PSZ2 G099.48+37.72;248,6714;67,6423; 5.57902;0;0,991602;0,00182755;0,000679229; 21; 0.166800;RXC J1634.6+6738; 2.506282;0,26387;0
 473;PSZ2 G099.48+55.60;217,1485;56,8766; 8.08447;0;0,989805;0,00280121;0,000699212; 20; 0.105100;RXC J1428.4+5652; 2.811942;0,211048;1
 475;PSZ2 G099.55+34.23;257,6109;68,7321; 5.34278;0;0,975459;0,00092501;0,000317404; 16;;;;;0
 476;PSZ2 G099.57-58.64;0,9451;2,0536; 5.30325;0;0,986274;0,00104246;0,000330422; 21; 0.092400;RXCJ0003.8+0203; 2.238774;0,28216;0
 477;PSZ2 G099.62+14.86;307,6362;65,0936; 5.54439;0;0,008148;0,00432306;0,00148877; -1;;;;;0
 478;PSZ2 G099.86+58.45;213,6782;54,7836; 7.79464;0;0,962386;0,00114245;0,000277915; 20; 0.630500;WHL J213.697+54.78; 6.846082;0,477337;1
 479;PSZ2 G100.04+23.73;287,0822;69,0852; 6.43922;0;0,974318;0,00148139;0,000518597; 21; 0.210300;RXC J1908.3+6903; 3.703402;0,283629;1
 480;PSZ2 G100.07+17.06;303,5893;66,6117; 5.01178;0;0,002036;0,0012529;0,000535767; -1;;;;;0
 481;PSZ2 G100.14+41.67;239,0257;66,3545; 8.32171;0;0,960593;0,00125149;0,000332199; 21; 0.233900;RXC J1556.1+6621; 4.044270;0,267394;1
 483;PSZ2 G100.22+33.81;258,4193;69,3734; 5.68790;0;0,989719;0,00125645;0,000476889; -1;;;;;0
 482;PSZ2 G100.22-29.64;350,2543;29,2136; 7.05812;0;0,981908;0,00193456;0,000620942; 20; 0.485000;WHL J350.267+29.19; 7.643378;0,555208;1
 484;PSZ2 G100.38+16.73;304,6811;66,703; 5.08381;0;0,009232;0,00605378;0,00342686; -1;;;;;0
 485;PSZ2 G100.45+16.79;304,6407;66,7855;11,78533;0;0,024329;0,00431339;0,0008484; -1;;;;;0
 486;PSZ2 G100.45-38.42;354,1311;21,1519; 4.62064;0;0,999836;0,00709607;0,00433613; 21; 0.056500;RXC J2336.5+2108; 1.844045;0,266122;0
 487;PSZ2 G100.80+24.61;285,0768;69,9618; 7.02350;0;0,995006;0,00292551;0,000832462; 21; 0.087700;RXC J1900.4+6958; 2.240968;0,172823;1
 488;PSZ2 G100.96-24.07;348,3483;34,5796; 4.74681;0;0,999981;0,00126683;0,000509137; 13; 0.424012;; 5.698100;0,684031;0
 489;PSZ2 G101.36+32.39;261,928;70,5941; 4.94466;0;0,988377;0,00141778;0,00100176; 21; 0.305900;RX J1727.4+7035; 3.312784;0,323187;0
 490;PSZ2 G101.52-29.98;351,5963;29,3258; 6.04112;0;0,932124;0,00189328;0,000773734; 20; 0.227000;WHL J351.609+29.36; 4.878619;0,492055;1
 491;PSZ2 G101.55-59.03;2,0422;2,0304; 6.11180;0;0,930735;0,00186655;0,000619039; 24; 0.369455;RMJ000810.4+020112.3; 5.720798;0,590136;1
 492;PSZ2 G101.68-49.21;358,8849;11,3377; 6.17091;0;0,913785;0,0044016;0,00225359; 21; 0.072600;RXC J2355.6+1120; 2.399462;0,251411;1
 493;PSZ2 G102.90-31.04;353,302;28,7678; 6.12440;0;0,009703;0,00254499;0,000748422; 10; 0.591500;; 6.728717;0,659855;0
 494;PSZ2 G102.98-04.77;338,707;52,7264; 7.59287;0;0,825752;0,00159814;0,000353109; 15;;;;;0
 495;PSZ2 G103.40-32.99;354,5043;27,0818; 7.14973;0;0,910463;0,0206194;0,00497807; 21; 0.030900;RXC J2338.4+2659; 1.511933;0,126403;1
 496;PSZ2 G103.56+24.78;286,1682;72,4525; 5.62727;0;0,972862;0,000629737;0,000176773; 20; 0.330000;; 4.059032;0,467274;0
 497;PSZ2 G104.15-38.85;357,2018;21,7235; 6.41452;0;0,000014;0,00149128;0,000372123; -1;;;;;0
 498;PSZ2 G104.29+26.17;281,8843;73,3323; 4.66846;0;0,786022;0,000977499;0,000504754; 21; 0.112500;RXC J1847.2+7320; 1.941149;0,282475;0
 499;PSZ2 G104.30-48.99;0,4838;12,0782; 5.39621;0;0,995307;0,00163339;0,000575151; 21; 0.203300;RXC J0001.9+1204; 4.107262;0,447796;0
 500;PSZ2 G104.52+39.39;239,4819;70,3849; 4.59873;0;0,957194;0,000822834;0,000416338; -1;;;;;0
 501;PSZ2 G104.58-15.41;347,9583;43,8836; 4.62935;0;0,001823;0,00136637;0,000434594; -1;;;;;0
 502;PSZ2 G104.71-54.54;2,3395;6,8293; 5.90490;0;0,999952;0,00284561;0,00114042; 24; 0.244062;RMJ000920.7+064923.1; 4.898720;0,523988;0
 503;PSZ2 G104.74+40.42;236,7096;69,9441; 4.57885;0;0,788926;0,000711764;0,00033614; 11; 0.690000;; 4.253688;0,508658;0
 504;PSZ2 G104.98-54.79;2,5584;6,6339; 4.64351;0;0,968837;0,00108537;0,000415015; 24; 0.291234;RMJ001015.3+064045.0; 4.798480;0,556026;0
 505;PSZ2 G105.00+39.68;238,1512;70,5334; 4.97213;0;0,911199;0,00131731;0,000480741; -1;;;;;0
 506;PSZ2 G105.25-17.93;350,0595;41,7871; 8.56164;0;0,981653;0,00633468;0,00173091; 21; 0.140000;RXC J2320.2+4146; 4.585247;0,273582;0
 507;PSZ2 G105.40-50.43;1,5978;10,8927; 5.89843;0;0,968056;0,00252317;0,000953684; 20; 0.169800;RXC J0006.3+1052; 3.853959;0,40533;0
 508;PSZ2 G105.55+77.21;197,7544;39,2463; 6.93177;0;0,896685;0,00412443;0,000927121; 21; 0.072000;RXC J1311.1+3913; 2.196282;0,215014;1
 509;PSZ2 G105.76+54.73;212,5897;59,6801; 6.03458;0;0,985684;0,00130821;0,00056131; 21; 0.316000;BVH2007 184; 4.414105;0,425033;1
 510;PSZ2 G105.82-38.36;358,3931;22,5789;11,51047;1;0,000103;0,00501448;0,000758074; 15;;;;;0
 511;PSZ2 G105.94-16.14;350,0239;43,6923; 4.61735;0;0,00302;0,00216544;0,000908143; -1;;;;;0
 512;PSZ2 G106.11+24.11;290,3513;74,5561; 5.70250;0;0,998788;0,00136608;0,000521574; -1;;;;;0
 513;PSZ2 G106.15+25.75;284,2923;74,9309; 4.88069;0;0,919832;0,00244649;0,00165735; 11; 0.588000;; 4.911154;0,518902;0
 514;PSZ2 G106.21+26.32;282,1361;75,0587; 4.90126;0;0,995923;0,0027134;0,00185303; -1;;;;;0
 515;PSZ2 G106.41+50.82;216,3149;63,186; 7.13821;0;0,933781;0,00242402;0,000895205; 20; 0.139400;RXC J1425.3+6311; 2.887828;0,245458;1
 516;PSZ2 G106.48-10.42;347,637;49,1955; 5.40932;0;0,003761;0,00193806;0,000730807; -1;;;;;0
 517;PSZ2 G106.61+66.71;202,6355;49,1529; 5.33447;0;0,928211;0,00108341;0,000434911; 20; 0.331400;WHL J202.623+49.14; 4.674128;0,55317;0
 518;PSZ2 G106.87-83.23;10,8662;-20,617;12,65438;0;0,96012;0,00253977;0,000387814; 21; 0.292400;RXCJ0043.4-2037; 8.125670;0,373283;1
 519;PSZ2 G107.10+65.32;203,1777;50,5183;16,45694;0;0,999972;0,0061984;0,000727364; 20; 0.279900;RXC J1332.7+5032; 8.217337;0,272736;1
 520;PSZ2 G107.11-39.50;359,7704;21,7518; 5.52123;0;0,946541;0,00184898;0,000713263; 13; 0.533030;; 6.929063;0,627809;0
 521;PSZ2 G107.39-31.48;357,639;29,5399; 5.15654;0;0,987516;0,00289029;0,00122728; 20; 0.149800;RXC J2350.5+2929; 3.446907;0,431648;0
 522;PSZ2 G107.41-09.57;348,4458;50,3256;10,68771;0;0,013754;0,00660806;0,0012554; -1;;;;;0
 523;PSZ2 G107.66-58.32;4,8949;3,5965; 7.62567;0;0,999354;0,00232084;0,000954982; 11; 0.267000;ZwCl 0017.0+0320; 6.216138;0,480409;1
 524;PSZ2 G107.67-39.78;0,3019;21,5932; 4.72506;0;0,990916;0,0018001;0,000779587; 20; 0.415200;WHL J0.322361+21.5; 5.728785;0,704587;0
 525;PSZ2 G107.83-45.45;1,8955;16,1308; 7.09463;0;0,855375;0,00112779;0,000155348; -1;;;;;1
 526;PSZ2 G108.13-09.21;349,2913;50,9268; 9.10111;0;0,017457;0,00453379;0,000975716; 15;;;;;0
 527;PSZ2 G108.17-11.56;350,6177;48,7414; 7.97640;0;0,999478;0,00416836;0,00114547; 10; 0.336000;; 7.738726;0,569454;0
 528;PSZ2 G108.24+58.11;207,2301;57,3469; 4.64587;0;0,94117;0,00112515;0,000572162; 24; 0.321677;RMJ134851.6+572141.3; 3.849495;0,50866;0
 529;PSZ2 G108.27+48.66;216,7773;65,6528; 5.94718;0;0,869337;0,00152693;0,000511052; 11; 0.674000;; 4.933684;0,472452;0
 530;PSZ2 G108.71-47.75;3,0592;14,0265; 4.50874;0;0,759225;0,00124722;0,000577762; 13; 0.371674;; 5.053808;0,671054;0
 531;PSZ2 G109.14-28.02;358,2865;33,28; 6.71901;0;0,963775;0,00143747;0,000361212; 11; 0.457000;WHL J358.303+33.26; 6.919559;0,617525;1
 532;PSZ2 G109.22-44.01;2,5556;17,7559; 4.54273;0;0,983725;0,000848274;0,000231566; 24; 0.173052;RMJ001003.5+174614.9; 3.262274;0,46501;0
 533;PSZ2 G109.52-19.16;355,7376;41,9132; 5.94853;0;0,987693;0,00310548;0,0011958; 20; 0.309200;WHL J355.743+41.92; 5.765161;0,477744;0
 534;PSZ2 G109.86+27.94;275,833;78,3893; 5.84821;0;0,948162;0,00099596;0,000309102; 20; 0.400000;; 5.201621;0,444243;0
 535;PSZ2 G109.97+52.84;209,9356;62,528; 7.19941;0;0,945343;0,00200629;0,000645038; 20; 0.325900;RXC J1359.8+6231; 4.814389;0,361434;1
 536;PSZ2 G109.99-70.28;8,4865;-7,8528; 6.86662;0;0,944363;0,00342346;0,000993362; 24; 0.304487;RMJ003353.1-075210.4; 5.622478;0,535831;1
 537;PSZ2 G110.28-87.48;12,2532;-24,6702; 6.56480;0;0,92415;0,00196445;0,000644123; 20; 0.520000;Vidal 14; 7.173761;0,592014;1
 538;PSZ2 G110.69-46.25;4,0992;15,7851; 5.04812;0;0,923529;0,00224253;0,00109048; -1;;;;;0
 539;PSZ2 G110.98+31.73;256,1005;78,6325;40,75489;0;0,992486;0,0300851;0,00152637; 21; 0.058100;RXC J1703.8+7838; 6.210739;0,101287;1
 540;PSZ2 G111.61-45.71;4,6449;16,4334; 9.68021;0;0,999408;0,00336988;0,000661946; 20; 0.545600;RXC J0018.5+1626; 9.793704;0,529332;1
 541;PSZ2 G111.75+70.37;198,2642;46,2812; 8.31206;0;0,946569;0,00313236;0,000638937; 20; 0.183000;RXC J1313.1+4616; 4.342518;0,320323;1
 542;PSZ2 G112.07-39.86;3,873;22,2454; 5.72015;0;0,00495;0,00719424;0,00292365; -1;;;;;0
 543;PSZ2 G112.35-32.86;2,6884;29,1673; 5.09694;0;0,968546;0,00190293;0,000716564; 24; 0.348114;RMJ001051.4+290940.2; 5.499069;0,629985;0
 544;PSZ2 G112.48+56.99;203,9932;59,221;12,32663;0;0,978019;0,00845842;0,0014663; 21; 0.070100;RXC J1336.1+5912; 2.991135;0,146647;1
 545;PSZ2 G112.54+59.53;202,4759;56,8123; 5.37342;0;0,895071;0,000712182;0,000199108; -1;;;;;0
 546;PSZ2 G112.69+33.37;245,1021;79,1816; 4.62577;0;0,935386;0,000687555;0,000276598; -1;;;;;0
 547;PSZ2 G113.02-64.68;8,636;-2,1387; 6.18288;0;0,975437;0,0077202;0,00285691; 21; 0.081200;RXCJ0034.6-0208; 2.326696;0,240383;1
 548;PSZ2 G113.27+48.39;209,7444;67,4431; 5.30067;0;0,930232;0,000627605;0,000251748; 16;;;;;0
 549;PSZ2 G113.29-29.69;2,9363;32,4325; 8.14862;0;0,982397;0,00584315;0,00143184; 20; 0.107300;RXC J0011.7+3225; 3.710075;0,264699;1
 550;PSZ2 G113.81+44.35;213,5332;71,2823;10,92729;0;0,994616;0,00186252;0,000371932; 21; 0.225000;A1895; 4.627713;0,233918;1
 551;PSZ2 G113.91-37.01;4,9004;25,2965; 8.15114;0;0,971486;0,00242833;0,000640599; 24; 0.371187;RMJ001941.3+251807.3; 7.582247;0,537199;1
 552;PSZ2 G114.14+58.96;201,3065;57,5834; 4.74562;0;0,954858;0,000913078;0,000324312; 24; 0.115583;RMJ132511.2+573601.6; 2.171770;0,286468;0
 553;PSZ2 G114.31+64.89;198,7658;51,8329;11,1058;0;0,997972;0,00314645;0,000599957; 20; 0.283600;RXC J1315.1+5149; 6.761312;0,355215;1
 555;PSZ2 G114.39-20.98;2,2522;41,1782; 5.92432;0;0,970623;0,00258956;0,000805685; 21; 0.153700;ZwCl28; 3.812736;0,343965;0
 554;PSZ2 G114.39-60.16;8,6222;2,4226; 5.65848;0;0,999963;0,00433812;0,00182984; 24; 0.368318;RMJ003428.2+022522.6; 5.775038;0,629575;0
 556;PSZ2 G114.79-33.71;5,1456;28,6657; 9.35778;0;0,998987;0,0057974;0,0012806; 21; 0.094000;RXC J0020.6+2840; 3.824416;0,222066;1
 557;PSZ2 G114.81-11.80;0,3758;50,2752; 4.56817;0;0,998516;0,00158301;0,000828314; 11; 0.250000;; 4.431402;0,581263;0
 558;PSZ2 G114.83+57.25;201,4457;59,3305; 6.40137;0;0,989839;0,00191423;0,000588962; 24; 0.169517;RMJ132549.7+591949.0; 3.273393;0,300642;1
