source_number;name;ra;dec;snr;ir_contam_flag;nn_quality_flag;y5r500;y5r500_error;validation_status;redshift;redshift_source_name;mass_sz;mass_sz_pos_err;cosmology_sample_flag
   1;PSZ2 G000.04+45.13;229,1905;-1,0172; 6.75319;0;0,938825;0,00548159;0,0018995; 20; 0.119800;RXC J1516.5-0056; 3.962411;0,39329;1
   2;PSZ2 G000.13+78.04;203,5587;20,256; 9.25669;0;0,93932;0,00436085;0,00184025; 20; 0.171000;RXC J1334.1+2013; 5.122391;0,351061;1
   3;PSZ2 G000.40-41.86;316,0845;-41,3542; 9.70428;0;0,988699;0,00450769;0,00104687; 21; 0.165100;RXCJ2104.3-4120; 5.297053;0,32035;1
   4;PSZ2 G000.77-35.69;307,9728;-40,5987; 6.58179;0;0,985064;0,00160629;0,000516778; 21; 0.341600;RXCJ2031.8-4037; 6.333562;0,58988;1
   5;PSZ2 G002.04-22.15;291,3596;-36,5179; 5.12563;0;0,399731;0,00192778;0,000644426; -1;;;;;0
   6;PSZ2 G002.08-68.28;349,6324;-36,3326; 4.75040;0;0,911077;0,00312731;0,00159132; 20; 0.140000;ACO S 1109; 2.835297;0,370542;0
   7;PSZ2 G002.42+69.64;210,9933;15,6884; 4.62169;0;0,976674;0,00268569;0,00131046; 24; 0.180518;RMJ140358.9+154409.6; 3.510401;0,465839;0
   8;PSZ2 G002.77-56.16;334,6595;-38,8794; 9.19606;0;0,97515;0,00404779;0,00102807; 21; 0.141100;RXCJ2218.6-3853; 4.411132;0,29866;1
   9;PSZ2 G002.82+39.23;235,0152;-3,2851; 8.07308;0;0,952116;0,00970097;0,00263729; 21; 0.153300;RXCJ1540.1-0318; 5.736017;0,475538;0
  10;PSZ2 G002.88-22.45;292,0148;-35,8761; 4.80061;0;0,004082;0,00194268;0,000712163; -1;;;;;0
  11;PSZ2 G003.21-76.04;358,3512;-33,2932; 4.78953;0;0,837636;0,00103584;0,000384556; -1;;;;;0
  12;PSZ2 G003.91-42.03;316,4675;-38,7532; 9.33304;0;0,993977;0,00535817;0,00111078; 21; 0.152100;RXCJ2106.0-3846; 4.716204;0,321887;1
  13;PSZ2 G003.93-59.41;338,6081;-37,7413;17,35802;0;0,996898;0,00566285;0,000719787; 21; 0.151000;RXCJ2234.5-3744; 7.194754;0,263986;1
  14;PSZ2 G004.04+42.23;233,2733;-0,6754; 4.75789;0;0,926048;0,0032092;0,00179117; 24; 0.151272;RMJ153303.5-004616.5; 3.592052;0,465211;0
  15;PSZ2 G004.13+56.81;221,8651;8,4517; 6.75999;0;0,984064;0,00308855;0,000930312; 20; 0.380000;RXC J1447.4+0827; 7.122818;0,643275;1
  16;PSZ2 G004.45-19.55;289,2667;-33,5416; 9.06547;0;0,985599;0,00196385;0,00036027; 20; 0.540000;;10,356931;0,677135;1
  17;PSZ2 G005.91-28.26;299,8069;-34,8918; 5.98316;0;0,997078;0,00229145;0,000889302; 21; 0.172800;RXCJ1959.1-3454; 4.286492;0,387097;0
  18;PSZ2 G006.05+29.43;244,4061;-7,2625; 5.09372;0;0,935909;0,00178547;0,000742856; 20; 0.252300;RXC J1617.6-0714; 5.515037;0,647036;0
  19;PSZ2 G006.16-69.49;350,5375;-34,5752; 4.55340;0;0,92553;0,0013319;0,000683665; -1;;;;;0
  20;PSZ2 G006.38+62.03;218,308;12,4863; 5.65158;0;0,989402;0,00136098;0,000424082; 24; 0.235712;RMJ143312.4+122756.8; 4.813953;0,554516;0
  21;PSZ2 G006.49+50.56;227,7289;5,7681;23,17088;0;0,992896;0,0229633;0,00211504; 21; 0.076600;A2029; 7.039484;0,199073;1
  22;PSZ2 G006.68-35.55;308,7059;-35,8251;11,85154;0;0,981821;0,0117188;0,00215168; 21; 0.089400;RXCJ2034.7-3548; 4.166683;0,232628;1
  23;PSZ2 G006.76+30.45;243,9549;-6,1524;35,01054;0;0,994178;0,0235336;0,00163328; 21; 0.203000;RXCJ1615.7-0608;16,116468;0,296833;0
  24;PSZ2 G006.82-34.71;307,711;-35,5641; 5.02210;0;0,92593;0,00174992;0,000802183; 21; 0.139800;RXCJ2030.7-3532; 3.152574;0,402348;0
  25;PSZ2 G006.84+50.69;227,7552;6,022; 5.73192;0;0,980618;0,0367845;0,00759671; 13; 0.075728;; 1.844416;0,742635;0
  26;PSZ2 G007.57-33.90;306,8861;-34,7965; 4.82758;0;0,996469;0,00114233;0,000356096; 20; 0.550000;; 6.273721;0,734868;0
  27;PSZ2 G007.67-43.18;318,1796;-36,0844; 5.38838;0;0,996568;0,00171792;0,000639196; 16;;;;;0
  28;PSZ2 G007.76-36.83;310,4393;-35,1878; 5.74397;0;0,963702;0,00511689;0,00167287; 20; 0.089462;ACO  3705; 2.638609;0,268698;0
  29;PSZ2 G008.31-64.74;344,6782;-34,7882;10,9472;0;0,981501;0,00449901;0,000810077; 20; 0.312000;ACO S 1077; 7.745729;0,41188;1
  30;PSZ2 G008.47-56.34;334,4436;-35,7156;10,0536;0;0,988582;0,00486193;0,00103462; 21; 0.148600;RXCJ2217.7-3543; 4.791958;0,304431;1
  31;PSZ2 G008.70-31.44;304,2413;-33,3264; 5.34288;0;0,000104;0,00331104;0,00110293; -1;;;;;0
  32;PSZ2 G008.80-35.18;308,6595;-34,0615; 6.28531;0;0,99795;0,00305005;0,00133309; 21; 0.093600;RXCJ2034.7-3404; 2.975521;0,286146;1
  33;PSZ2 G008.94-81.22;3,5591;-30,3876;15,31582;0;0,995436;0,00409919;0,000551316; 21; 0.306600;RXCJ0014.3-3023; 9.835684;0,39472;1
  34;PSZ2 G009.04+31.09;244,586;-4,1893; 5.04280;0;0,979366;0,00233149;0,0010041; -1;;;;;0
  35;PSZ2 G009.45-56.93;335,1336;-35,1376; 7.29635;0;0,953018;0,00161453;0,000503806; 21; 0.154400;RXCJ2220.5-3509; 4.021076;0,349856;1
  36;PSZ2 G010.76-16.91;288,9424;-26,9948; 4.63515;0;0,98758;0,0028041;0,0010102; -1;;;;;0
  37;PSZ2 G011.06-63.84;343,3862;-33,7389; 5.36425;0;0,947687;0,00101557;0,000293062; 21; 0.224000;RXCJ2253.5-3343; 4.070501;0,466557;0
  38;PSZ2 G011.36+49.42;230,4769;7,6737; 5.36439;0;0,964931;0,00575009;0,00217454; 21; 0.044200;RXC J1521.8+0742; 1.869686;0,201766;0
  39;PSZ2 G011.36-72.93;354,0539;-32,1343; 6.26367;0;0,993455;0,00232399;0,000913039; 16;;;;;1
  40;PSZ2 G011.72-37.96;312,4505;-32,2999; 5.37476;0;0,889654;0,00131373;0,000458929; 21; 0.323000;MACSJ2049.9-3217; 5.374032;0,589478;0
  41;PSZ2 G011.92-63.53;342,976;-33,3942; 5.72106;0;0,890244;0,00112363;0,000364744; 20;;ACO  3926;;;0
  42;PSZ2 G012.59-20.10;292,9782;-26,5666; 7.01150;0;0,996469;0,00189239;0,000546807; 21; 0.352000;MACSJ1931.8-2634; 6.974438;0,525899;1
  43;PSZ2 G012.81+49.68;230,7674;8,6074; 6.75556;0;0,98746;0,0100431;0,00327315; 21; 0.035500;RXC J1523.0+0836; 1.898151;0,174993;1
  44;PSZ2 G013.06-75.46;356,8526;-31,1509; 5.28891;0;0,952714;0,00174548;0,000726235; -1;;;;;0
  45;PSZ2 G013.74-45.53;321,5663;-32,0254; 5.18606;0;0,981778;0,00087359;0,000205492; 30; 0.323033;ABELL S0946; 4.810649;0,564473;0
  46;PSZ2 G014.09+38.38;240,8561;3,3224; 5.20146;0;0,579039;0,00249913;0,00104772; 20; 0.222200;WHL J240.829+3.279; 4.725769;0,54516;0
  47;PSZ2 G014.33+60.23;221,9787;14,7694; 4.99666;0;0,98775;0,00264706;0,00123601; 24; 0.219834;RMJ144756.9+144532.6; 4.365911;0,531632;0
  48;PSZ2 G014.72-62.49;341,6334;-32,2011; 5.21311;0;0,982519;0,00263067;0,00126763; -1;;;;;0
  49;PSZ2 G015.75-28.66;303,0772;-26,7054; 4.76452;0;0,905032;0,00180951;0,000893988; 20; 0.149000;; 3.260183;0,39348;0
  50;PSZ2 G017.25-70.71;351,1689;-30,6511; 5.19466;0;0,924171;0,00112154;0,000421026; -1;;;;;0
  51;PSZ2 G017.72-51.40;328,7493;-30,1325; 4.53554;0;0,980951;0,00232493;0,00111338; -1;;;;;0
  52;PSZ2 G018.06-36.38;311,9957;-27,0195; 5.64942;0;0,993672;0,00105418;0,000235879; 20;;ACO  3714;;;0
  53;PSZ2 G018.18-60.00;338,7121;-30,5419; 6.35725;0;0,990221;0,00138828;0,000468117; 21; 0.251500;RXC J2234.8-3033; 4.868449;0,449366;1
  54;PSZ2 G018.32-28.50;303,7003;-24,5105; 8.67636;0;0,943742;0,00282897;0,000889383; 21; 0.161200;RXCJ2014.8-2430; 5.092264;0,356207;0
  55;PSZ2 G018.54-25.69;300,8656;-23,3915;11,34157;0;0,997373;0,00327351;0,000595593; 21; 0.317100;RXCJ2003.5-2323; 8.991968;0,444413;0
  56;PSZ2 G018.64-83.11;5,2543;-28,6217; 4.62228;0;0,999721;0,000914804;0,000330661; 16;;;;;0
  57;PSZ2 G018.73+23.56;255,5775;-1,024; 7.51618;0;0,939632;0,0141106;0,00374535; 20; 0.089000;; 3.968832;0,300528;0
  58;PSZ2 G018.73-15.49;290,7771;-19,3992; 4.84424;0;0,997038;0,00110406;0,000355865; -1;;;;;0
  59;PSZ2 G018.76-61.65;340,637;-30,315; 5.03814;0;0,935741;0,00154507;0,000653734; -1;;;;;0
  60;PSZ2 G018.84+22.43;256,6067;-1,5033; 6.33571;0;0,996673;0,00754181;0,00207823; 21; 0.091200;RXCJ1706.4-0132; 3.603171;0,295964;0
  61;PSZ2 G018.92-33.64;309,2781;-25,593; 4.77180;0;0,973691;0,00220982;0,00111548; -1;;;;;0
  62;PSZ2 G019.12+31.23;249,1227;3,1476; 7.52636;0;0,975657;0,00221388;0,000761492; 20; 0.280000;; 6.649408;0,515759;1
  63;PSZ2 G019.48-80.97;2,8223;-28,8688; 8.86259;0;0,961403;0,00760361;0,00163018; 21; 0.062000;RXCJ0011.3-2851; 2.606369;0,182667;1
  64;PSZ2 G020.08+37.47;244,0675;6,9137; 4.72731;0;0,996323;0,00170394;0,000589125; 24; 0.332806;RMJ161610.2+065504.4; 5.477802;0,689388;0
  65;PSZ2 G020.21-36.84;313,0083;-25,4826; 5.17455;0;0,940948;0,0010923;0,0003057; 16;;;;;0
  66;PSZ2 G020.49-47.35;324,4985;-27,727; 4.99537;0;0,919598;0,00135249;0,000467219; 16;;;;;0
  67;PSZ2 G020.66+37.99;243,8319;7,5709; 5.35110;0;0,729116;0,00400886;0,00138172; 24; 0.345133;RMJ161505.4+073455.4; 5.652531;0,641905;0
  68;PSZ2 G021.02-29.04;305,1025;-22,4479; 4.88909;0;0,882989;0,00127214;0,000475123; 16;;;;;0
  69;PSZ2 G021.08+38.00;243,9822;7,8598; 5.37691;0;0,949731;0,00150224;0,00056053; 20; 0.381500;WHL J244.011+7.864; 6.165772;0,641685;0
  70;PSZ2 G021.10+33.24;248,1989;5,5922;16,31857;0;0,990789;0,00800133;0,00121074; 21; 0.151400;RXC J1632.7+0534; 7.788315;0,300539;1
  71;PSZ2 G021.36-43.02;319,8962;-26,2017; 5.54686;0;0,863156;0,00140138;0,000457936; 20; 0.380000;; 5.810800;0,615291;0
  72;PSZ2 G022.03+17.75;262,1523;-1,2176; 6.20045;0;0,02801;0,00325727;0,00117228; -1;;;;;0
  73;PSZ2 G022.12-38.81;315,5511;-24,5729; 5.06137;0;0,99105;0,0013111;0,000504976; 21; 0.188000;RXCJ2102.1-2431; 3.731324;0,483119;0
  74;PSZ2 G022.98+19.49;261,0687;0,4155; 5.19207;0;0,207661;0,00146288;0,000520391; 20; 0.404400;WHL J261.104+0.415; 6.790033;0,80673;0
  75;PSZ2 G023.05+20.52;260,1954;0,9685; 5.57412;0;0,073133;0,00154887;0,000512674; -1;;;;;0
  76;PSZ2 G023.17+86.71;196,4731;26,5262; 5.34141;0;0,983422;0,0034003;0,00147411; 21; 0.306300;ZwCl5699; 5.033050;0,559982;0
  77;PSZ2 G023.40-15.26;292,4922;-15,1935; 5.00560;0;0,82295;0,0032528;0,00148384; 21; 0.082900;RXC J1930.0-1509; 2.369741;0,299939;0
  78;PSZ2 G023.87-13.88;291,396;-14,2055; 4.90816;0;0,950062;0,00207456;0,000828399; -1;;;;;0
  79;PSZ2 G024.44+22.76;258,8352;3,1718; 5.99790;0;0,92642;0,00386597;0,0011849; 21; 0.164700;RXC J1715.2+0309; 4.505844;0,400846;0
  80;PSZ2 G024.46-18.08;295,5951;-15,4358; 6.97577;0;0,000824;0,00471649;0,00111011; -1;;;;;0
  81;PSZ2 G025.02-41.49;319,0394;-23,194; 6.42499;0;0,998719;0,00143619;0,000417089; 20;;RXC J2115.9-2309;;;1
  82;PSZ2 G025.07-78.64;0,0902;-28,1003; 6.21720;0;0,962763;0,00244683;0,000835372; 16;;;;;1
  83;PSZ2 G025.13-75.88;356,9603;-28,1426; 8.07377;0;0,999753;0,00979927;0,00273566; 21; 0.030000;RXCJ2347.7-2808; 1.480293;0,114748;1
  84;PSZ2 G025.89-46.67;324,6775;-23,9849; 4.93352;0;0,930052;0,00240771;0,00120114; -1;;;;;0
  85;PSZ2 G026.09-25.62;303,4278;-17,0252; 4.64855;0;0,974431;0,00197159;0,000958146; -1;;;;;0
  86;PSZ2 G026.34-58.64;337,6572;-26,2664; 4.54593;0;0,965174;0,00085053;0,000258711; -1;;;;;0
  87;PSZ2 G026.73-38.94;316,8428;-21,184; 8.42102;0;0,983829;0,00528355;0,00148095; 20; 0.202000;ACO  2336; 5.409047;0,363768;1
  88;PSZ2 G027.23+15.73;266,2912;2,2182; 4.89738;0;0,011174;0,00143367;0,000481828; -1;;;;;0
  89;PSZ2 G027.28+23.79;259,1371;5,9642; 4.70543;0;0,163662;0,00268447;0,00131792; -1;;;;;0
  90;PSZ2 G027.39+15.39;266,6612;2,1911; 5.22816;0;0,742597;0,00106639;0,000211436; -1;;;;;0
  91;PSZ2 G027.77+10.88;270,8407;0,4327; 6.41661;0;0,004887;0,00483916;0,00199737; -1;;;;;0
  92;PSZ2 G027.77-49.72;328,2464;-23,5523; 4.59963;0;0,838371;0,00108134;0,0004455; 16;;;;;0
  93;PSZ2 G027.81-45.93;324,2875;-22,5133; 5.24201;0;0,986517;0,00455036;0,00241849; 16;;;;;0
  94;PSZ2 G027.92+15.54;266,7672;2,7115; 4.53575;0;0,64352;0,0030835;0,0017987; -1;;;;;0
  95;PSZ2 G027.99-69.85;350,2088;-27,03; 4.56345;0;0,805802;0,00713022;0,0018939; -1;;;;;0
  96;PSZ2 G028.05+25.43;257,9791;7,323; 8.21688;0;0,263776;0,00384193;0,000912004; 12; 0.284000;; 6.629104;0,512854;0
  97;PSZ2 G028.08+10.79;271,056;0,6585; 6.03667;0;0,874623;0,0101227;0,00372835; 21; 0.088200;RXC J1804.1+0042; 3.285987;0,335807;0
  98;PSZ2 G028.15-08.62;288,4216;-8,1406; 7.66655;0;0,505423;0,00197745;0,000513048; -1;;;;;0
  99;PSZ2 G028.63+50.15;235,0332;17,8987; 6.91491;0;0,980981;0,0037649;0,00114183; 21; 0.091600;A2108; 3.249135;0,268175;1
 100;PSZ2 G028.77-33.56;312,0614;-17,809; 8.73780;0;0,983281;0,00439502;0,000965125; 21; 0.147500;RXCJ2048.1-1750; 4.514435;0,314703;1
 101;PSZ2 G028.89+60.13;225,0905;21,3594; 7.52451;0;0,922572;0,00462634;0,00130104; 20; 0.153000;RXC J1500.3+2121; 4.542624;0,329476;1
 102;PSZ2 G029.06+44.55;240,5868;16,0913;15,7649;0;0,972904;0,0467386;0,00551272; 21; 0.035300;A2147; 3.527035;0,051358;1
 103;PSZ2 G029.55-60.16;339,6533;-24,9363; 5.02650;0;0,996661;0,00184828;0,000826892; 16;;;;;0
 104;PSZ2 G029.66-47.63;326,4343;-21,7802; 5.74469;0;0,939436;0,00124839;0,000386497; -1;;;;;0
 105;PSZ2 G029.80-17.40;297,1337;-10,5278; 9.00660;0;0,111623;0,00932316;0,00242525; -1;;;;;0
 106;PSZ2 G029.87-17.81;297,5458;-10,6419; 4.91087;0;0,082535;0,00616222;0,00271279; -1;;;;;0
 107;PSZ2 G030.27-16.94;296,913;-9,9282; 5.43023;0;0,068699;0,00268815;0,00094569; -1;;;;;0
 108;PSZ2 G030.70+09.44;273,4417;2,3314; 5.11550;0;0,923307;0,00776568;0,00317982; -1;;;;;0
 109;PSZ2 G030.90+34.37;250,8441;13,3853; 4.93896;0;0,948827;0,00161009;0,000686375; 25; 0.181900;ACO 2224; 3.713527;0,479676;0
 110;PSZ2 G031.37-71.95;352,6812;-26,1713; 4.72892;0;0,967612;0,00144415;0,000634781; -1;;;;;0
 111;PSZ2 G031.41-19.16;299,419;-9,899; 5.69411;0;0,041608;0,00217914;0,000765331; -1;;;;;0
 112;PSZ2 G031.93+78.71;205,4709;26,3684; 7.46826;0;0,972201;0,00321164;0,00149249; 21; 0.072400;RXC J1341.8+2622; 2.718318;0,233936;1
 113;PSZ2 G032.12-14.96;295,8916;-7,4624; 9.11884;0;0,012266;0,00803782;0,00191961; -1;;;;;0
 114;PSZ2 G032.13-44.36;323,6921;-19,1307; 5.48598;0;0,795134;0,000893108;0,000160632; -1;;;;;0
 115;PSZ2 G032.31+66.07;219,2979;24,3892; 5.13800;0;0,979003;0,00196292;0,000819889; -1;;;;;0
 116;PSZ2 G032.77+19.69;265,1225;8,7112; 4.78475;0;0,99804;0,00241671;0,000979861; -1;;;;;0
 117;PSZ2 G033.27-17.54;298,7166;-7,6031; 6.85451;0;0,026146;0,0023472;0,000708446; -1;;;;;0
 118;PSZ2 G033.46-48.43;328,0814;-19,6129;11,23937;0;0,987813;0,00824981;0,00140803; 21; 0.094300;RXCJ2152.4-1933; 4.076925;0,212101;1
 119;PSZ2 G033.81+77.18;207,2221;26,5946;19,26542;0;0,99473;0,0116643;0,00137831; 21; 0.062200;RXC J1348.8+2635; 4.465213;0,141695;1
 120;PSZ2 G033.83-46.57;326,3152;-18,7555; 5.52538;0;0,981414;0,000901467;0,000164901; 16;;;;;0
 121;PSZ2 G033.97-76.61;357,9274;-26,0953;12,60114;0;0,997534;0,00467918;0,000798332; 21; 0.226400;RXCJ2351.6-2605; 7.557539;0,365168;1
 122;PSZ2 G034.38+51.57;234,8593;21,7897; 6.87962;0;0,888699;0,00924353;0,00235083; 21; 0.041100;A2107; 1.928021;0,187336;1
 123;PSZ2 G034.78+31.71;254,6903;15,3198; 4.99950;0;0,997845;0,00174433;0,000776079; 20; 0.480000;WHL J254.661+15.32; 6.264102;0,739205;0
 124;PSZ2 G035.89-61.39;341,7593;-22,2282; 4.73259;0;0,955125;0,00750664;0,0044428; -1;;;;;0
 125;PSZ2 G036.09-17.43;299,8263;-5,1483; 5.37039;0;0,008042;0,00398105;0,00156696; -1;;;;;0
 126;PSZ2 G036.36+16.01;269,9845;10,1964; 4.58176;0;0,931523;0,00237039;0,00138839; -1;;;;;0
 127;PSZ2 G036.69-15.67;298,5192;-3,8397; 5.69272;0;0,791322;0,00129382;0,000373674; -1;;;;;0
 128;PSZ2 G036.73+14.93;271,1294;10,0553; 9.68264;0;0,99812;0,00287672;0,00065004; 21; 0.152500;RXC J1804.4+1002; 5.288359;0,336939;0
 129;PSZ2 G036.77-16.51;299,2989;-4,1504; 4.62819;0;0,026069;0,00236327;0,00094605; -1;;;;;0
 130;PSZ2 G036.80-14.95;297,9202;-3,4116; 4.72938;0;0,073135;0,00361868;0,00151049; -1;;;;;0
 131;PSZ2 G037.05-70.55;351,5252;-24,1207; 5.05320;0;0,997138;0,00257426;0,00129623; 21; 0.088000;RXC J2326.2-2406; 2.216287;0,268075;0
 132;PSZ2 G037.25-16.27;299,2983;-3,6387; 5.07099;0;0,875281;0,00207043;0,000838942; -1;;;;;0
 133;PSZ2 G037.31-21.54;304,0323;-5,984; 4.96123;0;0,768098;0,00101303;0,000265203; -1;;;;;0
 134;PSZ2 G037.48+71.52;213,6348;27,0555; 7.40165;0;0,996783;0,00345925;0,00103411; 24; 0.480965;RMJ141438.9+270311.1; 7.058753;0,533575;1
 135;PSZ2 G037.67+15.71;270,8099;11,2055; 7.09012;1;0,003443;0,00404129;0,00101439; 20;;;;;0
 136;PSZ2 G037.69-46.87;327,6175;-16,3992; 5.90356;0;0,968763;0,00336648;0,00132035; 11; 0.263000;; 5.173200;0,494959;0
 137;PSZ2 G038.68+24.50;262,9726;15,6778; 5.44055;0;0,956704;0,00216206;0,000924441; 20; 0.083600;; 2.475157;0,284868;0
 138;PSZ2 G038.95-46.90;327,9887;-15,6134; 5.55850;0;0,971874;0,00604773;0,00204427; 21; 0.061400;RXCJ2151.8-1543; 1.956114;0,250739;0
 139;PSZ2 G039.21-75.96;357,4653;-24,7553; 4.56029;0;0,932473;0,00152524;0,000790295; 30; 0.243501;ABELL 2663; 3.896730;0,560546;0
 140;PSZ2 G039.32-59.88;340,7698;-20,164; 5.42175;0;0,990979;0,00250622;0,00102764; 21; 0.135900;RXCJ2243.0-2009; 3.191940;0,39943;0
 141;PSZ2 G039.34+73.28;211,6932;27,7299; 4.61231;0;0,98353;0,00146292;0,000630875; 24; 0.566447;RMJ140649.4+274556.8; 5.691223;0,706205;0
 142;PSZ2 G039.85-39.96;321,7514;-12,1617;10,21498;0;0,982102;0,00463623;0,00092262; 21; 0.176000;RXCJ2127.1-1209; 5.915140;0,369424;1
 143;PSZ2 G039.86+18.70;268,9272;14,362; 4.55833;0;0,992311;0,0021917;0,0011873; -1;;;;;0
 144;PSZ2 G039.98-53.12;334,2369;-17,4076; 6.02018;0;0,985985;0,00312471;0,000994443; 21; 0.130100;RXCJ2216.9-1725; 3.476531;0,376901;1
 145;PSZ2 G040.03+74.95;209,8163;27,9651; 9.28746;0;0,990823;0,0063242;0,00131638; 21; 0.061200;RXC J1359.2+2758; 2.570666;0,160199;1
 146;PSZ2 G040.11-42.58;324,2706;-13,0963; 5.08387;0;0,998568;0,00275918;0,00100121; -1;;;;;0
 147;PSZ2 G040.28+37.36;250,7979;21,5438; 4.77979;0;0,994054;0,00197559;0,000878458; 21; 0.153500;RXC J1643.3+2131; 3.169573;0,395591;0
 148;PSZ2 G040.58+77.12;207,3622;28,0946; 7.61657;0;0,987265;0,00593129;0,00178878; 21; 0.074800;RXC J1349.3+2806; 2.626682;0,213464;1
 149;PSZ2 G041.43-66.81;348,1084;-21,5507; 5.21311;0;0,899723;0,0176267;0,00973614; 21; 0.110800;RXCJ2312.3-2130; 2.709744;0,364699;0
 150;PSZ2 G041.45+29.10;259,4665;19,6925; 9.38972;0;0,921261;0,00468986;0,0010671; 21; 0.178000;RXC J1717.8+1940; 5.587061;0,359755;1
 151;PSZ2 G041.69+21.68;266,805;17,1309; 4.50562;0;0,994434;0,00204713;0,000968147; 12; 0.479000;; 5.828984;0,784294;0
 152;PSZ2 G042.19+63.00;223,3831;28,1217; 4.89720;0;0,936647;0,00214815;0,000809342; 24; 0.256841;RMJ145332.1+280358.0; 4.272891;0,487135;0
 153;PSZ2 G042.32+17.48;271,0699;15,9973; 6.17306;0;0,98609;0,00208667;0,00071833; 10; 0.458000;; 7.029055;0,652822;0
 154;PSZ2 G042.53+35.20;253,6243;22,5909; 4.67444;0;0,992333;0,00285357;0,00117042; 20; 0.181100;WHL J253.734+22.63; 3.430715;0,498536;0
 155;PSZ2 G042.54+18.02;270,6434;16,4014; 4.78788;0;0,999334;0,00124534;0,000471186; -1;;;;;0
 156;PSZ2 G042.81+56.61;230,6171;27,6947;12,50101;0;0,98597;0,00799907;0,00127698; 21; 0.072300;RXC J1522.4+2742; 4.081120;0,186302;1
 157;PSZ2 G042.81-82.97;5,1725;-25,7138; 8.43762;0;0,991353;0,00216094;0,000590114; 21; 0.141000;RXCJ0020.7-2542; 4.259752;0,316597;1
 158;PSZ2 G043.44-41.27;324,1836;-10,2966; 5.55255;0;0,969713;0,00153702;0,00058586; -1;;;;;0
 159;PSZ2 G044.07-59.30;341,1382;-17,7169; 4.88407;0;0,929987;0,00304895;0,0016713; 21; 0.132500;RXC J2244.5-1744; 3.033627;0,39554;0
 160;PSZ2 G044.20+48.66;239,6005;27,2123;28,38608;0;0,99423;0,0336217;0,002701; 21; 0.089400;RXC J1558.3+2713; 8.771307;0,185857;1
 161;PSZ2 G044.21+52.13;235,7545;27,8333; 4.64078;0;0,955848;0,00174978;0,000804196; -1;;;;;0
 162;PSZ2 G044.46-65.42;347,1739;-19,9184; 6.40890;0;0,944682;0,00361738;0,00113317; 20; 0.082900;ACO 2538; 2.569310;0,257254;1
 163;PSZ2 G044.58-20.46;306,2812;0,5188; 6.58596;0;0,999139;0,00211131;0,000499119; 20; 0.274600;WHL J306.303+0.526; 5.651640;0,444941;0
 164;PSZ2 G044.77-51.30;333,7655;-13,9877; 8.27208;0;0,972332;0,00222502;0,000531299; 21; 0.502700;MACSJ2214.9-1359; 8.359282;0,611954;1
 165;PSZ2 G044.83+10.02;279,1641;15,0805; 9.27041;0;0,036389;0,0046353;0,00191594; -1;;;;;0
 166;PSZ2 G045.04+30.38;259,3115;23,0598; 4.63608;0;0,75106;0,00575554;0,00330554; 30; 0.160300;NSC J171703+230543; 3.238837;0,460349;0
 167;PSZ2 G045.10-43.18;326,472;-10,0924; 6.89083;0;0,99772;0,00438386;0,00132237; 21; 0.080800;RXCJ2145.9-1006; 2.804740;0,255885;1
 168;PSZ2 G045.13+67.78;217,9958;29,5567; 6.62170;0;0,93014;0,00177536;0,000412798; 20; 0.219100;ACO 1929; 4.825367;0,445101;1
 169;PSZ2 G045.20+15.63;274,0146;17,7622; 4.65034;0;0,91434;0,00152362;0,000744827; -1;;;;;0
 170;PSZ2 G045.32-38.46;322,3544;-7,7089; 6.34199;0;0,995255;0,00128897;0,00030278; 21; 0.594000;MACSJ2129.4-0741; 7.650510;0,639346;0
 171;PSZ2 G045.47+17.80;272,0322;18,8743; 4.66988;0;0,97866;0,00146777;0,000606011; -1;;;;;0
 172;PSZ2 G045.50-08.62;296,3535;7,0747; 5.63260;0;0,000024;0,00162559;0,000682946; -1;;;;;0
 173;PSZ2 G045.50-37.21;321,3199;-6,9781; 4.97345;0;0,977318;0,00442324;0,00204424; 20; 0.115300;RXC J2125.2-0657; 2.807489;0,373811;0
 174;PSZ2 G045.51+16.26;273,5349;18,2928; 5.53543;0;0,993543;0,00404986;0,00150834; 11; 0.240000;; 4.112292;0,518446;0
 175;PSZ2 G045.87+57.70;229,5874;29,4696; 5.41590;0;0,974701;0,00164566;0,000556731; 20; 0.611000;; 7.029533;0,657969;0
 176;PSZ2 G045.96-26.94;312,5349;-1,5905; 5.10409;0;0,957036;0,00173134;0,000705097; -1;;;;;0
 177;PSZ2 G046.10+27.18;262,9273;22,8751; 8.99643;0;0,987412;0,00236762;0,000599984; 21; 0.389000;MACSJ1731.6+2252; 8.269269;0,53672;1
 178;PSZ2 G046.13+30.72;259,2811;24,0646; 4.94378;0;0,979463;0,00123928;0,000494974; 11; 0.569000;; 6.394540;0,801785;0
 179;PSZ2 G046.26-70.47;352,4471;-21,1699; 5.06944;0;0,913153;0,00140947;0,00053926; 30; 0.143100;ABELL 2606; 3.017671;0,395953;0
 180;PSZ2 G046.36-06.83;295,1839;8,686; 5.23598;0;0,040471;0,00202704;0,000649945; -1;;;;;0
 181;PSZ2 G046.39+11.71;278,2492;17,192; 4.62333;0;0,96282;0,000861951;0,000181103; -1;;;;;0
 182;PSZ2 G046.47-49.44;332,5693;-12,1777;12,55573;0;0,988729;0,00764126;0,0011836; 21; 0.084600;RXCJ2210.3-1210; 4.389680;0,198356;1
